Início da produção: 2026-01-12 12-29-52
Tamanho: 269ml_FIT | Feed: 5.1312
==================================================
2026-01-12 17-28-42: Main: 9870, Feed: 5.1312
2026-01-12 17-28-43: Main: 9900, Feed: 5.1312
2026-01-12 17-28-44: Main: 9930, Feed: 5.1312
2026-01-12 17-28-45: Main: 9960, Feed: 5.1312
2026-01-12 17-28-46: Main: 9975, Feed: 5.1312
2026-01-12 17-28-47: Main: 10005, Feed: 5.1312
2026-01-12 17-28-48: Main: 10035, Feed: 5.1312
2026-01-12 17-28-49: Main: 10065, Feed: 5.1312
2026-01-12 17-28-50: Main: 10095, Feed: 5.1312
2026-01-12 17-28-51: Main: 10125, Feed: 5.1312
2026-01-12 17-28-52: Main: 10155, Feed: 5.1312
2026-01-12 17-28-53: Main: 10185, Feed: 5.1312
2026-01-12 17-28-54: Main: 10215, Feed: 5.1312
2026-01-12 17-28-55: Main: 10245, Feed: 5.1312
2026-01-12 17-28-56: Main: 10275, Feed: 5.1312
2026-01-12 17-28-57: Main: 10305, Feed: 5.1312
2026-01-12 17-28-59: Main: 10335, Feed: 5.1312
2026-01-12 17-29-00: Main: 10365, Feed: 5.1312
2026-01-12 17-29-01: Main: 10380, Feed: 5.1312
2026-01-12 17-29-02: Main: 10410, Feed: 5.1312
2026-01-12 17-29-03: Main: 10440, Feed: 5.1312
2026-01-12 17-29-04: Main: 10470, Feed: 5.1312
2026-01-12 17-29-05: Main: 10500, Feed: 5.1312
2026-01-12 17-29-06: Main: 10530, Feed: 5.1312
2026-01-12 17-29-07: Main: 10560, Feed: 5.1312
2026-01-12 17-29-08: Main: 10590, Feed: 5.1312
2026-01-12 17-29-09: Main: 10620, Feed: 5.1312
2026-01-12 17-29-10: Main: 10650, Feed: 5.1312
2026-01-12 17-29-11: Main: 10665, Feed: 5.1312
2026-01-12 17-29-12: Main: 10695, Feed: 5.1312
2026-01-12 17-29-13: Main: 10725, Feed: 5.1312
2026-01-12 17-29-14: Main: 10755, Feed: 5.1312
2026-01-12 17-29-15: Main: 10785, Feed: 5.1312
2026-01-12 17-29-16: Main: 10815, Feed: 5.1312
2026-01-12 17-29-17: Main: 10845, Feed: 5.1312
2026-01-12 17-29-19: Main: 10875, Feed: 5.1312
2026-01-12 17-29-20: Main: 10905, Feed: 5.1312
2026-01-12 17-29-21: Main: 10935, Feed: 5.1312
2026-01-12 17-29-22: Main: 10965, Feed: 5.1312
2026-01-12 17-29-23: Main: 10995, Feed: 5.1312
2026-01-12 17-29-24: Main: 11010, Feed: 5.1312
2026-01-12 17-29-25: Main: 11040, Feed: 5.1312
2026-01-12 17-29-26: Main: 11070, Feed: 5.1312
2026-01-12 17-29-27: Main: 11100, Feed: 5.1312
2026-01-12 17-29-28: Main: 11130, Feed: 5.1312
2026-01-12 17-29-29: Main: 11160, Feed: 5.1312
2026-01-12 17-29-30: Main: 11190, Feed: 5.1312
2026-01-12 17-29-31: Main: 11220, Feed: 5.1312
2026-01-12 17-29-32: Main: 11250, Feed: 5.1312
2026-01-12 17-29-33: Main: 11280, Feed: 5.1312
2026-01-12 17-29-34: Main: 11295, Feed: 5.1312
2026-01-12 17-29-35: Main: 11325, Feed: 5.1312
2026-01-12 17-29-36: Main: 11355, Feed: 5.1312
